Deck,Deck_links,Count,Share,Score,Win_Percentage
Venusaur ex Parasect,/decks/venusaur-ex-parasect-a1?game=POCKET&format=standard&set=A1,1,0.00%,1 - 4 - 0,20.00%
Charmander Vulpix,/decks/charmander-vulpix-a1?game=POCKET&format=standard&set=A1,1,0.00%,1 - 4 - 0,20.00%
Exeggutor ex Gardevoir,/decks/exeggutor-ex-gardevoir-a1?game=POCKET&format=standard&set=A1,1,0.00%,1 - 4 - 0,20.00%
Venusaur ex Wigglytuff ex,/decks/venusaur-ex-wigglytuff-ex-a1?game=POCKET&format=standard&set=A1,1,0.00%,1 - 3 - 1,20.00%
Dragonite Tauros,/decks/dragonite-tauros-a1?game=POCKET&format=standard&set=A1,1,0.00%,1 - 4 - 0,20.00%
Exeggutor ex Kangaskhan,/decks/exeggutor-ex-kangaskhan-a1?game=POCKET&format=standard&set=A1,1,0.00%,1 - 4 - 0,20.00%
Rapidash Moltres ex,/decks/rapidash-moltres-ex-a1?game=POCKET&format=standard&set=A1,1,0.00%,1 - 4 - 0,20.00%
Wigglytuff ex Heliolisk,/decks/wigglytuff-ex-heliolisk-a1?game=POCKET&format=standard&set=A1,1,0.00%,1 - 4 - 0,20.00%
Eelektrik Kabuto,/decks/eelektrik-kabuto-a1?game=POCKET&format=standard&set=A1,1,0.00%,1 - 4 - 0,20.00%
Blastoise ex Farfetch'd,/decks/blastoise-ex-farfetchd-a1?game=POCKET&format=standard&set=A1,1,0.00%,1 - 4 - 0,20.00%
Gengar Weezing,/decks/gengar-weezing-a1?game=POCKET&format=standard&set=A1,1,0.00%,1 - 4 - 0,20.00%
Wigglytuff ex Lickitung,/decks/wigglytuff-ex-lickitung-a1?game=POCKET&format=standard&set=A1,1,0.00%,1 - 4 - 0,20.00%
Golem Greninja,/decks/golem-greninja-a1?game=POCKET&format=standard&set=A1,1,0.00%,1 - 4 - 0,20.00%
Mewtwo ex Gengar,/decks/mewtwo-ex-gengar-a1?game=POCKET&format=standard&set=A1,1,0.00%,1 - 4 - 0,20.00%
Moltres ex Starmie ex,/decks/moltres-ex-starmie-ex-a1?game=POCKET&format=standard&set=A1,1,0.00%,1 - 5 - 0,16.67%
Golduck Omastar,/decks/golduck-omastar-a1?game=POCKET&format=standard&set=A1,1,0.00%,0 - 2 - 0,0.00%
Melmetal Snorlax,/decks/melmetal-snorlax-a1?game=POCKET&format=standard&set=A1,1,0.00%,0 - 1 - 0,0.00%
Articuno ex Weezing,/decks/articuno-ex-weezing-a1?game=POCKET&format=standard&set=A1,1,0.00%,0 - 1 - 0,0.00%
Weezing Nidoking,/decks/weezing-nidoking-a1?game=POCKET&format=standard&set=A1,1,0.00%,0 - 1 - 0,0.00%
Parasect Lilligant,/decks/parasect-lilligant-a1?game=POCKET&format=standard&set=A1,1,0.00%,0 - 1 - 0,0.00%
Arcanine ex Kangaskhan,/decks/arcanine-ex-kangaskhan-a1?game=POCKET&format=standard&set=A1,1,0.00%,0 - 1 - 0,0.00%
Blastoise ex Vaporeon,/decks/blastoise-ex-vaporeon-a1?game=POCKET&format=standard&set=A1,1,0.00%,0 - 3 - 0,0.00%
Poliwrath Kangaskhan,/decks/poliwrath-kangaskhan-a1?game=POCKET&format=standard&set=A1,1,0.00%,0 - 1 - 0,0.00%
Charizard ex Exeggutor ex,/decks/charizard-ex-exeggutor-ex-a1?game=POCKET&format=standard&set=A1,1,0.00%,0 - 2 - 0,0.00%
Gardevoir Slowbro,/decks/gardevoir-slowbro-a1?game=POCKET&format=standard&set=A1,1,0.00%,0 - 1 - 0,0.00%
Golem Golduck,/decks/golem-golduck-a1?game=POCKET&format=standard&set=A1,1,0.00%,0 - 1 - 0,0.00%
Charizard ex Wigglytuff ex,/decks/charizard-ex-wigglytuff-ex-a1?game=POCKET&format=standard&set=A1,1,0.00%,0 - 2 - 0,0.00%
Butterfree Kingler,/decks/butterfree-kingler-a1?game=POCKET&format=standard&set=A1,1,0.00%,0 - 1 - 0,0.00%
Pikachu ex Eelektross,/decks/pikachu-ex-eelektross-a1?game=POCKET&format=standard&set=A1,1,0.00%,0 - 1 - 0,0.00%
Pidgeot Sandslash,/decks/pidgeot-sandslash-a1?game=POCKET&format=standard&set=A1,1,0.00%,0 - 1 - 0,0.00%
Kabutops Aerodactyl,/decks/kabutops-aerodactyl-a1?game=POCKET&format=standard&set=A1,1,0.00%,0 - 3 - 0,0.00%
Ninetales Weezing,/decks/ninetales-weezing-a1?game=POCKET&format=standard&set=A1,1,0.00%,0 - 1 - 0,0.00%
Alakazam Omastar,/decks/alakazam-omastar-a1?game=POCKET&format=standard&set=A1,1,0.00%,0 - 2 - 0,0.00%
Articuno ex Blastoise,/decks/articuno-ex-blastoise-a1?game=POCKET&format=standard&set=A1,1,0.00%,0 - 3 - 0,0.00%
Machamp ex Golem,/decks/machamp-ex-golem-a1?game=POCKET&format=standard&set=A1,1,0.00%,0 - 3 - 0,0.00%
Golbat Electrode,/decks/golbat-electrode-a1?game=POCKET&format=standard&set=A1,1,0.00%,0 - 2 - 0,0.00%
Primeape Golbat,/decks/primeape-golbat-a1?game=POCKET&format=standard&set=A1,1,0.00%,0 - 1 - 0,0.00%
Pikachu Electabuzz,/decks/pikachu-electabuzz-a1?game=POCKET&format=standard&set=A1,1,0.00%,0 - 4 - 0,0.00%
Golem Melmetal,/decks/golem-melmetal-a1?game=POCKET&format=standard&set=A1,1,0.00%,0 - 2 - 0,0.00%
Gardevoir Greninja,/decks/gardevoir-greninja-a1?game=POCKET&format=standard&set=A1,1,0.00%,0 - 1 - 0,0.00%
Grapploct Primeape,/decks/grapploct-primeape-a1?game=POCKET&format=standard&set=A1,1,0.00%,0 - 1 - 0,0.00%
Weezing Frosmoth,/decks/weezing-frosmoth-a1?game=POCKET&format=standard&set=A1,1,0.00%,0 - 2 - 0,0.00%
Cinccino,/decks/cinccino-a1?game=POCKET&format=standard&set=A1,1,0.00%,0 - 3 - 0,0.00%
Venusaur ex Persian,/decks/venusaur-ex-persian-a1?game=POCKET&format=standard&set=A1,1,0.00%,0 - 4 - 2,0.00%
Articuno ex Kingler,/decks/articuno-ex-kingler-a1?game=POCKET&format=standard&set=A1,1,0.00%,0 - 2 - 0,0.00%
Frosmoth Articuno,/decks/frosmoth-articuno-a1?game=POCKET&format=standard&set=A1,1,0.00%,0 - 1 - 0,0.00%
Melmetal Jigglypuff,/decks/melmetal-a1-jigglypuff-p-a?game=POCKET&format=standard&set=A1,1,0.00%,0 - 2 - 0,0.00%
Wigglytuff ex Eelektross,/decks/wigglytuff-ex-eelektross-a1?game=POCKET&format=standard&set=A1,1,0.00%,0 - 4 - 0,0.00%
Bisharp Pidgeot,/decks/bisharp-pidgeot-a1?game=POCKET&format=standard&set=A1,1,0.00%,0 - 2 - 0,0.00%
Gengar Gardevoir,/decks/gengar-gardevoir-a1?game=POCKET&format=standard&set=A1,1,0.00%,0 - 2 - 0,0.00%
Greninja Tauros,/decks/greninja-tauros-a1?game=POCKET&format=standard&set=A1,1,0.00%,0 - 2 - 0,0.00%
Greninja Victreebel,/decks/greninja-victreebel-a1?game=POCKET&format=standard&set=A1,1,0.00%,0 - 3 - 0,0.00%
Wigglytuff ex Electrode,/decks/wigglytuff-ex-electrode-a1?game=POCKET&format=standard&set=A1,1,0.00%,0 - 3 - 0,0.00%
Wigglytuff ex Cloyster,/decks/wigglytuff-ex-cloyster-a1?game=POCKET&format=standard&set=A1,1,0.00%,0 - 4 - 0,0.00%
Cloyster Frosmoth,/decks/cloyster-frosmoth-a1?game=POCKET&format=standard&set=A1,1,0.00%,0 - 1 - 0,0.00%
Starmie ex Golbat,/decks/starmie-ex-golbat-a1?game=POCKET&format=standard&set=A1,1,0.00%,0 - 2 - 0,0.00%
Venusaur ex Victreebel,/decks/venusaur-ex-victreebel-a1?game=POCKET&format=standard&set=A1,1,0.00%,0 - 2 - 0,0.00%
Venusaur Weezing,/decks/venusaur-weezing-a1?game=POCKET&format=standard&set=A1,1,0.00%,0 - 2 - 0,0.00%
Tentacruel Seaking,/decks/tentacruel-seaking-a1?game=POCKET&format=standard&set=A1,1,0.00%,0 - 3 - 0,0.00%
Onix Kabutops,/decks/onix-kabutops-a1?game=POCKET&format=standard&set=A1,1,0.00%,0 - 2 - 0,0.00%
Charizard ex Arcanine,/decks/charizard-ex-arcanine-a1?game=POCKET&format=standard&set=A1,1,0.00%,0 - 2 - 0,0.00%
Greninja Heliolisk,/decks/greninja-heliolisk-a1?game=POCKET&format=standard&set=A1,1,0.00%,0 - 2 - 0,0.00%
Exeggutor ex Kabutops,/decks/exeggutor-ex-kabutops-a1?game=POCKET&format=standard&set=A1,1,0.00%,0 - 1 - 0,0.00%
Eelektross Zebstrika,/decks/eelektross-zebstrika-a1?game=POCKET&format=standard&set=A1,1,0.00%,0 - 1 - 0,0.00%
Venusaur Exeggutor,/decks/venusaur-exeggutor-a1?game=POCKET&format=standard&set=A1,1,0.00%,0 - 1 - 0,0.00%
Beedrill Greninja,/decks/beedrill-greninja-a1?game=POCKET&format=standard&set=A1,1,0.00%,0 - 3 - 0,0.00%
Golem Mewtwo ex,/decks/golem-mewtwo-ex-a1?game=POCKET&format=standard&set=A1,1,0.00%,0 - 2 - 0,0.00%
Heliolisk Pincurchin,/decks/heliolisk-pincurchin-a1?game=POCKET&format=standard&set=A1,1,0.00%,0 - 2 - 0,0.00%
Golduck Weezing,/decks/golduck-weezing-a1?game=POCKET&format=standard&set=A1,1,0.00%,0 - 1 - 0,0.00%
Vaporeon Dragonite,/decks/vaporeon-dragonite-a1?game=POCKET&format=standard&set=A1,1,0.00%,0 - 3 - 0,0.00%
Weezing Ditto,/decks/weezing-ditto-a1?game=POCKET&format=standard&set=A1,1,0.00%,0 - 3 - 0,0.00%
Venomoth Weezing,/decks/venomoth-weezing-a1?game=POCKET&format=standard&set=A1,1,0.00%,0 - 2 - 0,0.00%
Pidgeot Marowak,/decks/pidgeot-marowak-a1?game=POCKET&format=standard&set=A1,1,0.00%,0 - 2 - 0,0.00%
Blastoise,/decks/blastoise-a1?game=POCKET&format=standard&set=A1,1,0.00%,0 - 1 - 0,0.00%
Dragonite Ditto,/decks/dragonite-ditto-a1?game=POCKET&format=standard&set=A1,1,0.00%,0 - 3 - 0,0.00%
Primeape Meowth,/decks/primeape-meowth-a1?game=POCKET&format=standard&set=A1,1,0.00%,0 - 2 - 0,0.00%
Zapdos ex Aerodactyl,/decks/zapdos-ex-aerodactyl-a1?game=POCKET&format=standard&set=A1,1,0.00%,0 - 2 - 0,0.00%
Greninja Starmie,/decks/greninja-starmie-a1?game=POCKET&format=standard&set=A1,1,0.00%,0 - 1 - 0,0.00%
Greninja Pyukumuku,/decks/greninja-pyukumuku-a1?game=POCKET&format=standard&set=A1,1,0.00%,0 - 1 - 0,0.00%
Persian Jolteon,/decks/persian-jolteon-a1?game=POCKET&format=standard&set=A1,1,0.00%,0 - 3 - 0,0.00%
Golduck Cloyster,/decks/golduck-cloyster-a1?game=POCKET&format=standard&set=A1,1,0.00%,0 - 1 - 0,0.00%
Bisharp Persian,/decks/bisharp-persian-a1?game=POCKET&format=standard&set=A1,1,0.00%,0 - 2 - 0,0.00%
Bisharp Heliolisk,/decks/bisharp-heliolisk-a1?game=POCKET&format=standard&set=A1,1,0.00%,0 - 1 - 0,0.00%
Cinccino Dubwool,/decks/cinccino-dubwool-a1?game=POCKET&format=standard&set=A1,1,0.00%,0 - 1 - 0,0.00%
Exeggutor ex Mewtwo ex,/decks/exeggutor-ex-mewtwo-ex-a1?game=POCKET&format=standard&set=A1,1,0.00%,0 - 2 - 0,0.00%
Rhydon Hitmonchan,/decks/rhydon-hitmonchan-a1?game=POCKET&format=standard&set=A1,1,0.00%,0 - 2 - 0,0.00%
Bulbasaur Golett,/decks/bulbasaur-golett-a1?game=POCKET&format=standard&set=A1,1,0.00%,0 - 3 - 0,0.00%
Arcanine ex Heatmor,/decks/arcanine-ex-heatmor-a1?game=POCKET&format=standard&set=A1,1,0.00%,0 - 2 - 0,0.00%
Poliwhirl Golett,/decks/poliwhirl-golett-a1?game=POCKET&format=standard&set=A1,1,0.00%,0 - 2 - 0,0.00%
Jigglypuff Meowth,/decks/jigglypuff-meowth-a1?game=POCKET&format=standard&set=A1,1,0.00%,0 - 2 - 0,0.00%
Hypno Greninja,/decks/hypno-greninja-a1?game=POCKET&format=standard&set=A1,1,0.00%,0 - 1 - 0,0.00%
Kakuna Weepinbell,/decks/kakuna-weepinbell-a1?game=POCKET&format=standard&set=A1,1,0.00%,0 - 2 - 0,0.00%
Meowth Mankey,/decks/meowth-a1-mankey-p-a?game=POCKET&format=standard&set=A1,1,0.00%,0 - 1 - 0,0.00%
Weezing Alakazam,/decks/weezing-alakazam-a1?game=POCKET&format=standard&set=A1,1,0.00%,0 - 2 - 0,0.00%
Wartortle Charmeleon,/decks/wartortle-charmeleon-a1?game=POCKET&format=standard&set=A1,1,0.00%,0 - 2 - 0,0.00%
Weepinbell Doduo,/decks/weepinbell-doduo-a1?game=POCKET&format=standard&set=A1,1,0.00%,0 - 1 - 0,0.00%
Dragonair Cubone,/decks/dragonair-cubone-a1?game=POCKET&format=standard&set=A1,1,0.00%,0 - 1 - 0,0.00%
Mewtwo ex Golurk,/decks/mewtwo-ex-golurk-a1?game=POCKET&format=standard&set=A1,1,0.00%,0 - 2 - 1,0.00%
Charmeleon Meowth,/decks/charmeleon-meowth-a1?game=POCKET&format=standard&set=A1,1,0.00%,0 - 2 - 0,0.00%
Ivysaur Meowth,/decks/ivysaur-meowth-a1?game=POCKET&format=standard&set=A1,1,0.00%,0 - 2 - 0,0.00%
Butterfree Aerodactyl,/decks/butterfree-aerodactyl-a1?game=POCKET&format=standard&set=A1,1,0.00%,0 - 3 - 0,0.00%
Wartortle Krabby,/decks/wartortle-krabby-a1?game=POCKET&format=standard&set=A1,1,0.00%,0 - 1 - 0,0.00%
Seel,/decks/seel-a1?game=POCKET&format=standard&set=A1,1,0.00%,0 - 1 - 0,0.00%
Graveler Vulpix,/decks/graveler-vulpix-a1?game=POCKET&format=standard&set=A1,1,0.00%,0 - 1 - 0,0.00%
Graveler Pidgeotto,/decks/graveler-pidgeotto-a1?game=POCKET&format=standard&set=A1,1,0.00%,0 - 3 - 0,0.00%
Articuno ex Arbok,/decks/articuno-ex-arbok-a1?game=POCKET&format=standard&set=A1,1,0.00%,0 - 2 - 0,0.00%
Arbok,/decks/arbok-a1?game=POCKET&format=standard&set=A1,1,0.00%,0 - 2 - 0,0.00%
Butterfree Lilligant,/decks/butterfree-lilligant-a1?game=POCKET&format=standard&set=A1,1,0.00%,0 - 1 - 0,0.00%
Clefairy Golett,/decks/clefairy-golett-a1?game=POCKET&format=standard&set=A1,1,0.00%,0 - 1 - 0,0.00%
Wartortle,/decks/wartortle-a1?game=POCKET&format=standard&set=A1,1,0.00%,0 - 2 - 0,0.00%
Ivysaur Metapod,/decks/ivysaur-metapod-a1?game=POCKET&format=standard&set=A1,1,0.00%,0 - 1 - 0,0.00%
Poliwhirl Graveler,/decks/poliwhirl-graveler-a1?game=POCKET&format=standard&set=A1,1,0.00%,0 - 1 - 0,0.00%
Alakazam Rapidash,/decks/alakazam-rapidash-a1?game=POCKET&format=standard&set=A1,1,0.00%,0 - 2 - 0,0.00%
Weepinbell Ivysaur,/decks/weepinbell-ivysaur-a1?game=POCKET&format=standard&set=A1,1,0.00%,0 - 1 - 0,0.00%
Pidgeotto Poliwhirl,/decks/pidgeotto-poliwhirl-a1?game=POCKET&format=standard&set=A1,1,0.00%,0 - 2 - 0,0.00%
Ivysaur Vulpix,/decks/ivysaur-vulpix-a1?game=POCKET&format=standard&set=A1,1,0.00%,0 - 3 - 0,0.00%
Poliwhirl Meowth,/decks/poliwhirl-meowth-a1?game=POCKET&format=standard&set=A1,1,0.00%,0 - 1 - 1,0.00%
Omastar Farfetch'd,/decks/omastar-farfetchd-a1?game=POCKET&format=standard&set=A1,1,0.00%,0 - 2 - 0,0.00%
Butterfree Hypno,/decks/butterfree-hypno-a1?game=POCKET&format=standard&set=A1,1,0.00%,0 - 4 - 0,0.00%
Gengar Jynx,/decks/gengar-jynx-a1?game=POCKET&format=standard&set=A1,1,0.00%,0 - 2 - 0,0.00%
Venusaur ex Hypno,/decks/venusaur-ex-hypno-a1?game=POCKET&format=standard&set=A1,1,0.00%,0 - 2 - 0,0.00%
Sandslash Grapploct,/decks/sandslash-grapploct-a1?game=POCKET&format=standard&set=A1,1,0.00%,0 - 2 - 0,0.00%
Wigglytuff ex Gardevoir,/decks/wigglytuff-ex-gardevoir-a1?game=POCKET&format=standard&set=A1,1,0.00%,0 - 1 - 0,0.00%
Butterfree Tentacruel,/decks/butterfree-tentacruel-a1?game=POCKET&format=standard&set=A1,1,0.00%,0 - 3 - 0,0.00%
Exeggutor ex Golbat,/decks/exeggutor-ex-golbat-a1?game=POCKET&format=standard&set=A1,1,0.00%,0 - 2 - 0,0.00%
Weezing Mewtwo ex,/decks/weezing-mewtwo-ex-a1?game=POCKET&format=standard&set=A1,1,0.00%,0 - 2 - 0,0.00%
Tentacruel Cloyster,/decks/tentacruel-cloyster-a1?game=POCKET&format=standard&set=A1,1,0.00%,0 - 3 - 0,0.00%
Tentacruel Articuno ex,/decks/tentacruel-articuno-ex-a1?game=POCKET&format=standard&set=A1,1,0.00%,0 - 2 - 0,0.00%
Starmie Articuno,/decks/starmie-articuno-a1?game=POCKET&format=standard&set=A1,1,0.00%,0 - 1 - 0,0.00%
Beedrill,/decks/beedrill-a1?game=POCKET&format=standard&set=A1,1,0.00%,0 - 3 - 0,0.00%
Slowbro Mewtwo ex,/decks/slowbro-mewtwo-ex-a1?game=POCKET&format=standard&set=A1,1,0.00%,0 - 3 - 0,0.00%
Gengar ex Golurk,/decks/gengar-ex-golurk-a1?game=POCKET&format=standard&set=A1,1,0.00%,0 - 2 - 0,0.00%
Arcanine ex Magmar,/decks/arcanine-ex-magmar-a1?game=POCKET&format=standard&set=A1,1,0.00%,0 - 2 - 1,0.00%
Meowth Psyduck,/decks/meowth-psyduck-a1?game=POCKET&format=standard&set=A1,1,0.00%,0 - 2 - 0,0.00%
Golduck Starmie,/decks/golduck-starmie-a1?game=POCKET&format=standard&set=A1,1,0.00%,0 - 2 - 1,0.00%
Vileplume Lilligant,/decks/vileplume-lilligant-a1?game=POCKET&format=standard&set=A1,1,0.00%,0 - 2 - 0,0.00%
Kabutops Meowth,/decks/kabutops-meowth-a1?game=POCKET&format=standard&set=A1,1,0.00%,0 - 1 - 0,0.00%
Arbok Starmie,/decks/arbok-starmie-a1?game=POCKET&format=standard&set=A1,1,0.00%,0 - 2 - 0,0.00%
Primeape Hitmonlee,/decks/primeape-hitmonlee-a1?game=POCKET&format=standard&set=A1,1,0.00%,0 - 4 - 0,0.00%
Dragonite Golduck,/decks/dragonite-golduck-a1?game=POCKET&format=standard&set=A1,1,0.00%,0 - 2 - 0,0.00%
Butterfree Venusaur,/decks/butterfree-venusaur-a1?game=POCKET&format=standard&set=A1,1,0.00%,0 - 2 - 0,0.00%
Pidgeotto Machoke,/decks/pidgeotto-machoke-a1?game=POCKET&format=standard&set=A1,1,0.00%,0 - 2 - 0,0.00%
Poliwhirl Krabby,/decks/poliwhirl-krabby-a1?game=POCKET&format=standard&set=A1,1,0.00%,0 - 1 - 0,0.00%
Starmie ex Exeggutor ex,/decks/starmie-ex-exeggutor-ex-a1?game=POCKET&format=standard&set=A1,1,0.00%,0 - 2 - 0,0.00%
Arbok Farfetch'd,/decks/arbok-farfetchd-a1?game=POCKET&format=standard&set=A1,1,0.00%,0 - 2 - 0,0.00%
Poliwrath Ditto,/decks/poliwrath-ditto-a1?game=POCKET&format=standard&set=A1,1,0.00%,0 - 1 - 0,0.00%
Ivysaur Paras,/decks/ivysaur-paras-a1?game=POCKET&format=standard&set=A1,1,0.00%,0 - 2 - 0,0.00%
Marowak ex,/decks/marowak-ex-a1?game=POCKET&format=standard&set=A1,1,0.00%,0 - 1 - 0,0.00%
Gardevoir Pidgeot,/decks/gardevoir-pidgeot-a1?game=POCKET&format=standard&set=A1,1,0.00%,0 - 2 - 0,0.00%
Lapras ex Articuno,/decks/lapras-ex-p-a-articuno-a1?game=POCKET&format=standard&set=A1,1,0.00%,0 - 1 - 0,0.00%
Primeape Farfetch'd,/decks/primeape-farfetchd-a1?game=POCKET&format=standard&set=A1,1,0.00%,0 - 1 - 0,0.00%
Blastoise Tentacruel,/decks/blastoise-tentacruel-a1?game=POCKET&format=standard&set=A1,1,0.00%,0 - 2 - 0,0.00%
Muk Arbok,/decks/muk-arbok-a1?game=POCKET&format=standard&set=A1,1,0.00%,0 - 2 - 0,0.00%
Onix Kangaskhan,/decks/onix-kangaskhan-a1?game=POCKET&format=standard&set=A1,1,0.00%,0 - 1 - 0,0.00%
Cinccino Aerodactyl,/decks/cinccino-aerodactyl-a1?game=POCKET&format=standard&set=A1,1,0.00%,0 - 2 - 0,0.00%
Alakazam Slowbro,/decks/alakazam-slowbro-a1?game=POCKET&format=standard&set=A1,1,0.00%,0 - 1 - 0,0.00%
Marowak ex Cinccino,/decks/marowak-ex-cinccino-a1?game=POCKET&format=standard&set=A1,1,0.00%,0 - 2 - 0,0.00%
Mewtwo ex Golem,/decks/mewtwo-ex-golem-a1?game=POCKET&format=standard&set=A1,1,0.00%,0 - 1 - 0,0.00%
Venusaur ex Marowak ex,/decks/venusaur-ex-marowak-ex-a1?game=POCKET&format=standard&set=A1,1,0.00%,0 - 3 - 0,0.00%
Blastoise ex Seaking,/decks/blastoise-ex-seaking-a1?game=POCKET&format=standard&set=A1,1,0.00%,0 - 4 - 0,0.00%
Jolteon Vaporeon,/decks/jolteon-vaporeon-a1?game=POCKET&format=standard&set=A1,1,0.00%,0 - 1 - 0,0.00%
Raichu Eelektrik,/decks/raichu-eelektrik-a1?game=POCKET&format=standard&set=A1,1,0.00%,0 - 2 - 0,0.00%
Mawile Bisharp,/decks/mawile-bisharp-a1?game=POCKET&format=standard&set=A1,1,0.00%,0 - 3 - 0,0.00%
Arbok Nidoking,/decks/arbok-nidoking-a1?game=POCKET&format=standard&set=A1,1,0.00%,0 - 2 - 0,0.00%
Wigglytuff ex Gengar,/decks/wigglytuff-ex-gengar-a1?game=POCKET&format=standard&set=A1,1,0.00%,0 - 1 - 0,0.00%
Weezing Dragonite,/decks/weezing-dragonite-a1?game=POCKET&format=standard&set=A1,1,0.00%,0 - 2 - 0,0.00%
Golurk Gardevoir,/decks/golurk-gardevoir-a1?game=POCKET&format=standard&set=A1,1,0.00%,0 - 2 - 0,0.00%
Dugtrio Butterfree,/decks/dugtrio-butterfree-a1?game=POCKET&format=standard&set=A1,1,0.00%,0 - 2 - 0,0.00%
Gengar ex Arbok,/decks/gengar-ex-arbok-a1?game=POCKET&format=standard&set=A1,1,0.00%,0 - 2 - 0,0.00%
Gyarados Omastar,/decks/gyarados-omastar-a1?game=POCKET&format=standard&set=A1,1,0.00%,0 - 5 - 0,0.00%
Alakazam Jolteon,/decks/alakazam-jolteon-a1?game=POCKET&format=standard&set=A1,1,0.00%,0 - 3 - 0,0.00%
Magneton Electrode,/decks/magneton-electrode-a1?game=POCKET&format=standard&set=A1,1,0.00%,0 - 1 - 0,0.00%
Vileplume Tauros,/decks/vileplume-tauros-a1?game=POCKET&format=standard&set=A1,1,0.00%,0 - 2 - 0,0.00%
Omastar Aerodactyl,/decks/omastar-aerodactyl-a1?game=POCKET&format=standard&set=A1,1,0.00%,0 - 1 - 0,0.00%
Dragonite Jigglypuff,/decks/dragonite-jigglypuff-a1?game=POCKET&format=standard&set=A1,1,0.00%,0 - 1 - 0,0.00%
Beedrill Farfetch'd,/decks/beedrill-farfetchd-a1?game=POCKET&format=standard&set=A1,1,0.00%,0 - 2 - 0,0.00%
Vileplume Victreebel,/decks/vileplume-victreebel-a1?game=POCKET&format=standard&set=A1,1,0.00%,0 - 2 - 0,0.00%
Charizard ex Mewtwo ex,/decks/charizard-ex-mewtwo-ex-a1?game=POCKET&format=standard&set=A1,1,0.00%,0 - 2 - 0,0.00%
Eelektross Pincurchin,/decks/eelektross-pincurchin-a1?game=POCKET&format=standard&set=A1,1,0.00%,0 - 2 - 0,0.00%
Alakazam Swoobat,/decks/alakazam-swoobat-a1?game=POCKET&format=standard&set=A1,1,0.00%,0 - 2 - 0,0.00%
Persian Omastar,/decks/persian-omastar-a1?game=POCKET&format=standard&set=A1,1,0.00%,0 - 2 - 0,0.00%
Electrode Pikachu,/decks/electrode-pikachu-a1?game=POCKET&format=standard&set=A1,1,0.00%,0 - 2 - 0,0.00%
Exeggutor ex Gogoat,/decks/exeggutor-ex-gogoat-a1?game=POCKET&format=standard&set=A1,1,0.00%,0 - 2 - 0,0.00%
Ninetales Gyarados,/decks/ninetales-gyarados-a1?game=POCKET&format=standard&set=A1,1,0.00%,0 - 1 - 0,0.00%
Machamp ex Grapploct,/decks/machamp-ex-grapploct-a1?game=POCKET&format=standard&set=A1,1,0.00%,0 - 3 - 0,0.00%
Lapras ex Golem,/decks/lapras-ex-p-a-golem-a1?game=POCKET&format=standard&set=A1,1,0.00%,0 - 1 - 0,0.00%
Exeggutor ex Hypno,/decks/exeggutor-ex-hypno-a1?game=POCKET&format=standard&set=A1,1,0.00%,0 - 1 - 0,0.00%
Butterfree Starmie ex,/decks/butterfree-starmie-ex-a1?game=POCKET&format=standard&set=A1,1,0.00%,0 - 2 - 0,0.00%
Blastoise ex Golbat,/decks/blastoise-ex-golbat-a1?game=POCKET&format=standard&set=A1,1,0.00%,0 - 1 - 0,0.00%
Arbok Grapploct,/decks/arbok-grapploct-a1?game=POCKET&format=standard&set=A1,1,0.00%,0 - 1 - 0,0.00%
Golduck Seaking,/decks/golduck-seaking-a1?game=POCKET&format=standard&set=A1,1,0.00%,0 - 3 - 0,0.00%
Gengar ex Swoobat,/decks/gengar-ex-swoobat-a1?game=POCKET&format=standard&set=A1,1,0.00%,0 - 2 - 0,0.00%
Omastar Poliwrath,/decks/omastar-poliwrath-a1?game=POCKET&format=standard&set=A1,1,0.00%,0 - 2 - 0,0.00%
Victreebel Greninja,/decks/victreebel-greninja-a1?game=POCKET&format=standard&set=A1,1,0.00%,0 - 1 - 0,0.00%
Whimsicott Heliolisk,/decks/whimsicott-heliolisk-a1?game=POCKET&format=standard&set=A1,1,0.00%,0 - 4 - 0,0.00%
Cloyster Gyarados,/decks/cloyster-gyarados-a1?game=POCKET&format=standard&set=A1,1,0.00%,0 - 2 - 0,0.00%
Dragonair Metapod,/decks/dragonair-metapod-a1?game=POCKET&format=standard&set=A1,1,0.00%,0 - 1 - 0,0.00%
Dewgong Seaking,/decks/dewgong-seaking-a1?game=POCKET&format=standard&set=A1,1,0.00%,0 - 1 - 0,0.00%
Mankey Machop,/decks/mankey-p-a-machop-a1?game=POCKET&format=standard&set=A1,1,0.00%,0 - 1 - 0,0.00%
Golurk Centiskorch,/decks/golurk-centiskorch-a1?game=POCKET&format=standard&set=A1,1,0.00%,0 - 1 - 0,0.00%
Omastar Articuno ex,/decks/omastar-articuno-ex-a1?game=POCKET&format=standard&set=A1,1,0.00%,0 - 2 - 0,0.00%
Arcanine Rapidash,/decks/arcanine-rapidash-a1?game=POCKET&format=standard&set=A1,1,0.00%,0 - 2 - 0,0.00%
Venusaur ex Jolteon,/decks/venusaur-ex-jolteon-a1?game=POCKET&format=standard&set=A1,1,0.00%,0 - 3 - 0,0.00%
Omastar,/decks/omastar-a1?game=POCKET&format=standard&set=A1,1,0.00%,0 - 2 - 0,0.00%
Lapras,/decks/lapras-a1?game=POCKET&format=standard&set=A1,1,0.00%,0 - 1 - 0,0.00%
