,Deck,Count,Share,Score,Win_Percentage,Deck_links
752,Butterfree Venusaur ex,2,0.00%,0 - 3 - 0,0.00%,/decks/butterfree-venusaur-ex-a1?game=POCKET&format=standard&set=A2
753,Sandslash Mienshao,2,0.00%,0 - 2 - 0,0.00%,/decks/sandslash-mienshao-a1?game=POCKET&format=standard&set=A2
754,Darkrai ex Hypno,2,0.00%,0 - 3 - 0,0.00%,/decks/darkrai-ex-a2-hypno-a1?game=POCKET&format=standard&set=A2
755,Infernape ex Salazzle,2,0.00%,0 - 4 - 0,0.00%,/decks/infernape-ex-a2-salazzle-a1a?game=POCKET&format=standard&set=A2
756,Magnezone Starmie ex,2,0.00%,0 - 4 - 0,0.00%,/decks/magnezone-a2-starmie-ex-a1?game=POCKET&format=standard&set=A2
757,Exeggutor ex Dialga ex,2,0.00%,0 - 2 - 0,0.00%,/decks/exeggutor-ex-a1-dialga-ex-a2?game=POCKET&format=standard&set=A2
758,Darkrai ex Dusknoir,2,0.00%,0 - 3 - 0,0.00%,/decks/darkrai-ex-dusknoir-a2?game=POCKET&format=standard&set=A2
759,Zapdos ex Raichu,2,0.00%,0 - 6 - 0,0.00%,/decks/zapdos-ex-raichu-a1?game=POCKET&format=standard&set=A2
760,Garchomp Kingler,2,0.00%,0 - 3 - 0,0.00%,/decks/garchomp-a2-kingler-a1?game=POCKET&format=standard&set=A2
761,Lickilicky ex Farfetch'd,2,0.00%,0 - 4 - 0,0.00%,/decks/lickilicky-ex-a2-farfetchd-a1?game=POCKET&format=standard&set=A2
762,Bisharp Melmetal,2,0.00%,0 - 3 - 0,0.00%,/decks/bisharp-melmetal-a1?game=POCKET&format=standard&set=A2
763,Lickilicky ex Skarmory,2,0.00%,0 - 2 - 0,0.00%,/decks/lickilicky-ex-skarmory-a2?game=POCKET&format=standard&set=A2
764,Primeape Marowak,1,0.00%,1 - 0 - 0,100.00%,/decks/primeape-a1a-marowak-a1?game=POCKET&format=standard&set=A2
765,Garchomp Chatot,1,0.00%,6 - 1 - 0,85.71%,/decks/garchomp-chatot-a2?game=POCKET&format=standard&set=A2
766,Pachirisu ex Hypno,1,0.00%,4 - 1 - 0,80.00%,/decks/pachirisu-ex-a2-hypno-a1?game=POCKET&format=standard&set=A2
767,Greninja,1,0.00%,3 - 1 - 0,75.00%,/decks/greninja-a1?game=POCKET&format=standard&set=A2
768,Mewtwo ex Togekiss,1,0.00%,3 - 1 - 0,75.00%,/decks/mewtwo-ex-a1-togekiss-a2?game=POCKET&format=standard&set=A2
769,Garchomp Bibarel,1,0.00%,3 - 1 - 0,75.00%,/decks/garchomp-bibarel-a2?game=POCKET&format=standard&set=A2
770,Aerodactyl ex Sandslash,1,0.00%,6 - 2 - 0,75.00%,/decks/aerodactyl-ex-a1a-sandslash-a1?game=POCKET&format=standard&set=A2
771,Mewtwo ex Magneton,1,0.00%,5 - 2 - 0,71.43%,/decks/mewtwo-ex-magneton-a1?game=POCKET&format=standard&set=A2
772,Garchomp Wigglytuff ex,1,0.00%,6 - 3 - 0,66.67%,/decks/garchomp-a2-wigglytuff-ex-a1?game=POCKET&format=standard&set=A2
773,Greninja Dialga ex,1,0.00%,6 - 3 - 0,66.67%,/decks/greninja-a1-dialga-ex-a2?game=POCKET&format=standard&set=A2
774,Machamp ex Hitmonchan,1,0.00%,4 - 2 - 0,66.67%,/decks/machamp-ex-hitmonchan-a1?game=POCKET&format=standard&set=A2
775,Greninja Regice,1,0.00%,6 - 3 - 0,66.67%,/decks/greninja-a1-regice-a2?game=POCKET&format=standard&set=A2
776,Vaporeon Lumineon,1,0.00%,2 - 1 - 0,66.67%,/decks/vaporeon-lumineon-a1a?game=POCKET&format=standard&set=A2
777,Garchomp Lumineon,1,0.00%,4 - 2 - 0,66.67%,/decks/garchomp-lumineon-a2?game=POCKET&format=standard&set=A2
778,Exeggutor Lilligant,1,0.00%,4 - 2 - 0,66.67%,/decks/exeggutor-a1a-lilligant-a1?game=POCKET&format=standard&set=A2
779,Zapdos ex Raichu,1,0.00%,2 - 1 - 0,66.67%,/decks/zapdos-ex-a1-raichu-a1a?game=POCKET&format=standard&set=A2
780,Alakazam Greninja,1,0.00%,4 - 2 - 0,66.67%,/decks/alakazam-greninja-a1?game=POCKET&format=standard&set=A2
781,Marowak ex Magnezone,1,0.00%,2 - 1 - 0,66.67%,/decks/marowak-ex-a1-magnezone-a2?game=POCKET&format=standard&set=A2
782,Hypno Magcargo,1,0.00%,2 - 1 - 0,66.67%,/decks/hypno-a1-magcargo-a2?game=POCKET&format=standard&set=A2
783,Wigglytuff ex Dusknoir,1,0.00%,4 - 2 - 0,66.67%,/decks/wigglytuff-ex-a1-dusknoir-a2?game=POCKET&format=standard&set=A2
784,Palkia ex Lopunny,1,0.00%,4 - 2 - 0,66.67%,/decks/palkia-ex-lopunny-a2?game=POCKET&format=standard&set=A2
785,Purugly Dialga ex,1,0.00%,4 - 2 - 0,66.67%,/decks/purugly-dialga-ex-a2?game=POCKET&format=standard&set=A2
786,Gallade ex Kangaskhan,1,0.00%,2 - 1 - 0,66.67%,/decks/gallade-ex-a2-kangaskhan-a1?game=POCKET&format=standard&set=A2
787,Marowak ex Regirock,1,0.00%,4 - 2 - 0,66.67%,/decks/marowak-ex-a1-regirock-a2?game=POCKET&format=standard&set=A2
788,Pidgeot ex Magnezone,1,0.00%,4 - 2 - 0,66.67%,/decks/pidgeot-ex-a1a-magnezone-a2?game=POCKET&format=standard&set=A2
789,Blastoise ex Meowth,1,0.00%,2 - 1 - 0,66.67%,/decks/blastoise-ex-meowth-a1?game=POCKET&format=standard&set=A2
790,Magnezone Lucario,1,0.00%,5 - 3 - 0,62.50%,/decks/magnezone-lucario-a2?game=POCKET&format=standard&set=A2
791,Gyarados ex Golduck,1,0.00%,5 - 3 - 0,62.50%,/decks/gyarados-ex-a1a-golduck-a1?game=POCKET&format=standard&set=A2
792,Venusaur ex Kangaskhan,1,0.00%,5 - 1 - 2,62.50%,/decks/venusaur-ex-kangaskhan-a1?game=POCKET&format=standard&set=A2
793,Starmie ex Dragonite,1,0.00%,3 - 2 - 0,60.00%,/decks/starmie-ex-dragonite-a1?game=POCKET&format=standard&set=A2
794,Lumineon Abomasnow,1,0.00%,3 - 2 - 0,60.00%,/decks/lumineon-a1a-abomasnow-a2?game=POCKET&format=standard&set=A2
795,Gyarados Articuno,1,0.00%,3 - 2 - 0,60.00%,/decks/gyarados-articuno-a1?game=POCKET&format=standard&set=A2
796,Dragonite Pachirisu ex,1,0.00%,3 - 2 - 0,60.00%,/decks/dragonite-a1-pachirisu-ex-a2?game=POCKET&format=standard&set=A2
797,Victreebel Farfetch'd,1,0.00%,3 - 2 - 0,60.00%,/decks/victreebel-farfetchd-a1?game=POCKET&format=standard&set=A2
798,Mismagius ex Clefable,1,0.00%,3 - 2 - 0,60.00%,/decks/mismagius-ex-a2-clefable-a1?game=POCKET&format=standard&set=A2
799,Arcanine ex Rapidash,1,0.00%,3 - 2 - 0,60.00%,/decks/arcanine-ex-a1-rapidash-a1a?game=POCKET&format=standard&set=A2
800,Rhyperior Gliscor,1,0.00%,3 - 2 - 0,60.00%,/decks/rhyperior-gliscor-a2?game=POCKET&format=standard&set=A2
801,Rampardos Golem,1,0.00%,3 - 2 - 0,60.00%,/decks/rampardos-a2-golem-a1a?game=POCKET&format=standard&set=A2
802,Gyarados ex Shaymin,1,0.00%,3 - 2 - 0,60.00%,/decks/gyarados-ex-a1a-shaymin-a2?game=POCKET&format=standard&set=A2
803,Exeggutor ex Torterra,1,0.00%,6 - 4 - 0,60.00%,/decks/exeggutor-ex-a1-torterra-a2?game=POCKET&format=standard&set=A2
804,Mew ex Luxray,1,0.00%,3 - 2 - 0,60.00%,/decks/mew-ex-a1a-luxray-a2?game=POCKET&format=standard&set=A2
805,Rampardos Meowth,1,0.00%,6 - 4 - 0,60.00%,/decks/rampardos-a2-meowth-a1?game=POCKET&format=standard&set=A2
806,Persian Bastiodon,1,0.00%,3 - 2 - 0,60.00%,/decks/persian-a1-bastiodon-a2?game=POCKET&format=standard&set=A2
807,Yanmega ex Kangaskhan,1,0.00%,4 - 3 - 0,57.14%,/decks/yanmega-ex-a2-kangaskhan-a1?game=POCKET&format=standard&set=A2
808,Celebi ex Mew ex,1,0.00%,4 - 2 - 1,57.14%,/decks/celebi-ex-mew-ex-a1a?game=POCKET&format=standard&set=A2
809,Beedrill Vespiquen,1,0.00%,4 - 3 - 0,57.14%,/decks/beedrill-a1-vespiquen-a2?game=POCKET&format=standard&set=A2
810,Garchomp Shaymin,1,0.00%,4 - 3 - 0,57.14%,/decks/garchomp-shaymin-a2?game=POCKET&format=standard&set=A2
811,Marowak Lucario,1,0.00%,4 - 2 - 1,57.14%,/decks/marowak-a1-lucario-a2?game=POCKET&format=standard&set=A2
812,Yanmega ex Lucario,1,0.00%,4 - 3 - 0,57.14%,/decks/yanmega-ex-lucario-a2?game=POCKET&format=standard&set=A2
813,Pachirisu ex Shaymin,1,0.00%,4 - 3 - 0,57.14%,/decks/pachirisu-ex-shaymin-a2?game=POCKET&format=standard&set=A2
814,Yanmega ex Moltres ex,1,0.00%,4 - 3 - 0,57.14%,/decks/yanmega-ex-a2-moltres-ex-a1?game=POCKET&format=standard&set=A2
815,Greninja Bibarel,1,0.00%,4 - 3 - 0,57.14%,/decks/greninja-a1-bibarel-a2?game=POCKET&format=standard&set=A2
816,Probopass Melmetal,1,0.00%,4 - 3 - 0,57.14%,/decks/probopass-a2-melmetal-a1?game=POCKET&format=standard&set=A2
817,Gengar ex Yanmega ex,1,0.00%,4 - 3 - 0,57.14%,/decks/gengar-ex-a1-yanmega-ex-a2?game=POCKET&format=standard&set=A2
818,Wigglytuff ex Articuno ex,1,0.00%,4 - 3 - 0,57.14%,/decks/wigglytuff-ex-articuno-ex-a1?game=POCKET&format=standard&set=A2
819,Kingler Mew ex,1,0.00%,4 - 3 - 0,57.14%,/decks/kingler-a1-mew-ex-a1a?game=POCKET&format=standard&set=A2
820,Alakazam Farfetch'd,1,0.00%,4 - 3 - 0,57.14%,/decks/alakazam-farfetchd-a1?game=POCKET&format=standard&set=A2
821,Leafeon Farfetch'd,1,0.00%,4 - 3 - 0,57.14%,/decks/leafeon-a2-farfetchd-a1?game=POCKET&format=standard&set=A2
822,Magnezone Empoleon,1,0.00%,5 - 4 - 0,55.56%,/decks/magnezone-empoleon-a2?game=POCKET&format=standard&set=A2
823,Electivire Pachirisu ex,1,0.00%,5 - 4 - 0,55.56%,/decks/electivire-pachirisu-ex-a2?game=POCKET&format=standard&set=A2
824,Yanmega ex Arbok,1,0.00%,5 - 4 - 0,55.56%,/decks/yanmega-ex-a2-arbok-a1?game=POCKET&format=standard&set=A2
825,Yanmega ex Zapdos ex,1,0.00%,4 - 4 - 0,50.00%,/decks/yanmega-ex-a2-zapdos-ex-a1?game=POCKET&format=standard&set=A2
826,Starmie ex Poliwrath,1,0.00%,1 - 1 - 0,50.00%,/decks/starmie-ex-poliwrath-a1?game=POCKET&format=standard&set=A2
827,Garchomp Lapras,1,0.00%,2 - 2 - 0,50.00%,/decks/garchomp-a2-lapras-a1?game=POCKET&format=standard&set=A2
828,Wigglytuff ex Arbok,1,0.00%,4 - 4 - 0,50.00%,/decks/wigglytuff-ex-arbok-a1?game=POCKET&format=standard&set=A2
829,Dialga ex Pidgeot ex,1,0.00%,2 - 2 - 0,50.00%,/decks/dialga-ex-a2-pidgeot-ex-a1a?game=POCKET&format=standard&set=A2
830,Infernape ex Regirock,1,0.00%,3 - 3 - 0,50.00%,/decks/infernape-ex-regirock-a2?game=POCKET&format=standard&set=A2
831,Palkia ex Magcargo,1,0.00%,3 - 3 - 0,50.00%,/decks/palkia-ex-magcargo-a2?game=POCKET&format=standard&set=A2
832,Dragonite Vaporeon,1,0.00%,1 - 1 - 0,50.00%,/decks/dragonite-a1-vaporeon-a1a?game=POCKET&format=standard&set=A2
833,Magnezone Lickilicky ex,1,0.00%,2 - 2 - 0,50.00%,/decks/magnezone-lickilicky-ex-a2?game=POCKET&format=standard&set=A2
834,Exeggutor ex Bastiodon,1,0.00%,3 - 3 - 0,50.00%,/decks/exeggutor-ex-a1-bastiodon-a2?game=POCKET&format=standard&set=A2
835,Mew ex Golem,1,0.00%,1 - 1 - 0,50.00%,/decks/mew-ex-a1a-golem-a1?game=POCKET&format=standard&set=A2
836,Gyarados ex,1,0.00%,1 - 1 - 0,50.00%,/decks/gyarados-ex-a1a?game=POCKET&format=standard&set=A2
837,Celebi ex Exeggutor,1,0.00%,2 - 2 - 0,50.00%,/decks/celebi-ex-exeggutor-a1a?game=POCKET&format=standard&set=A2
838,Magnezone Grotle,1,0.00%,3 - 3 - 0,50.00%,/decks/magnezone-grotle-a2?game=POCKET&format=standard&set=A2
839,Greninja Persian,1,0.00%,3 - 2 - 1,50.00%,/decks/greninja-persian-a1?game=POCKET&format=standard&set=A2
840,Garchomp Marshadow,1,0.00%,3 - 3 - 0,50.00%,/decks/garchomp-a2-marshadow-a1a?game=POCKET&format=standard&set=A2
841,Magneton Jolteon,1,0.00%,3 - 3 - 0,50.00%,/decks/magneton-jolteon-a1?game=POCKET&format=standard&set=A2
842,Blastoise ex Tauros,1,0.00%,4 - 4 - 0,50.00%,/decks/blastoise-ex-a1-tauros-a1a?game=POCKET&format=standard&set=A2
843,Exeggutor ex Roserade,1,0.00%,3 - 3 - 0,50.00%,/decks/exeggutor-ex-a1-roserade-a2?game=POCKET&format=standard&set=A2
844,Lickilicky ex Articuno ex,1,0.00%,1 - 1 - 0,50.00%,/decks/lickilicky-ex-a2-articuno-ex-a1?game=POCKET&format=standard&set=A2
845,Greninja Hitmonlee,1,0.00%,1 - 1 - 0,50.00%,/decks/greninja-hitmonlee-a1?game=POCKET&format=standard&set=A2
846,Magnezone Cresselia,1,0.00%,2 - 2 - 0,50.00%,/decks/magnezone-cresselia-a2?game=POCKET&format=standard&set=A2
847,Rhyperior Lucario,1,0.00%,1 - 1 - 0,50.00%,/decks/rhyperior-lucario-a2?game=POCKET&format=standard&set=A2
848,Shiinotic Vileplume,1,0.00%,1 - 1 - 0,50.00%,/decks/shiinotic-a1a-vileplume-a1?game=POCKET&format=standard&set=A2
849,Golem Ambipom,1,0.00%,3 - 2 - 1,50.00%,/decks/golem-a1a-ambipom-a2?game=POCKET&format=standard&set=A2
850,Dragonite Jolteon,1,0.00%,2 - 2 - 0,50.00%,/decks/dragonite-jolteon-a1?game=POCKET&format=standard&set=A2
851,Darkrai ex Bibarel,1,0.00%,5 - 5 - 0,50.00%,/decks/darkrai-ex-bibarel-a2?game=POCKET&format=standard&set=A2
852,Mismagius ex Dusknoir,1,0.00%,4 - 4 - 0,50.00%,/decks/mismagius-ex-dusknoir-a2?game=POCKET&format=standard&set=A2
853,Electivire Luxray,1,0.00%,2 - 2 - 0,50.00%,/decks/electivire-luxray-a2?game=POCKET&format=standard&set=A2
854,Darkrai ex Wigglytuff ex,1,0.00%,2 - 2 - 0,50.00%,/decks/darkrai-ex-a2-wigglytuff-ex-a1?game=POCKET&format=standard&set=A2
855,Greninja Aerodactyl ex,1,0.00%,3 - 3 - 0,50.00%,/decks/greninja-a1-aerodactyl-ex-a1a?game=POCKET&format=standard&set=A2
856,Garchomp Palkia ex,1,0.00%,5 - 5 - 0,50.00%,/decks/garchomp-palkia-ex-a2?game=POCKET&format=standard&set=A2
857,Rapidash Flareon,1,0.00%,2 - 2 - 0,50.00%,/decks/rapidash-flareon-a1?game=POCKET&format=standard&set=A2
858,Exeggutor ex Charizard ex,1,0.00%,4 - 4 - 0,50.00%,/decks/exeggutor-ex-charizard-ex-a1?game=POCKET&format=standard&set=A2
859,Victreebel Shiinotic,1,0.00%,2 - 2 - 0,50.00%,/decks/victreebel-a1-shiinotic-a1a?game=POCKET&format=standard&set=A2
860,Gyarados ex Butterfree,1,0.00%,2 - 2 - 0,50.00%,/decks/gyarados-ex-a1a-butterfree-a1?game=POCKET&format=standard&set=A2
861,Kabutops Primeape,1,0.00%,2 - 2 - 0,50.00%,/decks/kabutops-primeape-a1?game=POCKET&format=standard&set=A2
862,Flareon Greninja,1,0.00%,1 - 1 - 0,50.00%,/decks/flareon-greninja-a1?game=POCKET&format=standard&set=A2
863,Empoleon Kangaskhan,1,0.00%,1 - 1 - 0,50.00%,/decks/empoleon-a2-kangaskhan-a1?game=POCKET&format=standard&set=A2
864,Starmie ex Lapras ex,1,0.00%,1 - 1 - 0,50.00%,/decks/starmie-ex-a1-lapras-ex-p-a?game=POCKET&format=standard&set=A2
865,Lickilicky ex Cinccino,1,0.00%,3 - 2 - 1,50.00%,/decks/lickilicky-ex-a2-cinccino-a1?game=POCKET&format=standard&set=A2
866,Serperior Lilligant,1,0.00%,3 - 3 - 0,50.00%,/decks/serperior-a1a-lilligant-a1?game=POCKET&format=standard&set=A2
867,Raichu Electivire,1,0.00%,2 - 2 - 0,50.00%,/decks/raichu-a1a-electivire-a2?game=POCKET&format=standard&set=A2
868,Yanmega ex Gallade ex,1,0.00%,2 - 2 - 0,50.00%,/decks/yanmega-ex-gallade-ex-a2?game=POCKET&format=standard&set=A2
869,Magnezone Bastiodon,1,0.00%,4 - 4 - 0,50.00%,/decks/magnezone-bastiodon-a2?game=POCKET&format=standard&set=A2
870,Blastoise ex Gyarados ex,1,0.00%,3 - 3 - 0,50.00%,/decks/blastoise-ex-a1-gyarados-ex-a1a?game=POCKET&format=standard&set=A2
871,Greninja Jolteon,1,0.00%,3 - 3 - 0,50.00%,/decks/greninja-jolteon-a1?game=POCKET&format=standard&set=A2
872,Gallade ex Gliscor,1,0.00%,1 - 1 - 0,50.00%,/decks/gallade-ex-gliscor-a2?game=POCKET&format=standard&set=A2
873,Exeggutor Celebi ex,1,0.00%,3 - 3 - 0,50.00%,/decks/exeggutor-a1-celebi-ex-a1a?game=POCKET&format=standard&set=A2
874,Greninja Darkrai,1,0.00%,1 - 1 - 0,50.00%,/decks/greninja-a1-darkrai-a2?game=POCKET&format=standard&set=A2
875,Alakazam Gardevoir,1,0.00%,3 - 3 - 0,50.00%,/decks/alakazam-gardevoir-a1?game=POCKET&format=standard&set=A2
876,Blastoise ex Lapras,1,0.00%,3 - 3 - 0,50.00%,/decks/blastoise-ex-lapras-a1?game=POCKET&format=standard&set=A2
877,Rapidash Magmortar,1,0.00%,1 - 1 - 0,50.00%,/decks/rapidash-a1a-magmortar-a2?game=POCKET&format=standard&set=A2
878,Yanmega ex Spiritomb,1,0.00%,3 - 3 - 0,50.00%,/decks/yanmega-ex-spiritomb-a2?game=POCKET&format=standard&set=A2
879,Lumineon Palkia ex,1,0.00%,2 - 2 - 0,50.00%,/decks/lumineon-palkia-ex-a2?game=POCKET&format=standard&set=A2
880,Blastoise ex Lapras ex,1,0.00%,2 - 2 - 0,50.00%,/decks/blastoise-ex-a1-lapras-ex-p-a?game=POCKET&format=standard&set=A2
881,Darkrai ex Toxicroak,1,0.00%,1 - 1 - 0,50.00%,/decks/darkrai-ex-toxicroak-a2?game=POCKET&format=standard&set=A2
882,Dugtrio Primeape,1,0.00%,3 - 3 - 0,50.00%,/decks/dugtrio-a1-primeape-a1a?game=POCKET&format=standard&set=A2
883,Garchomp Mienshao,1,0.00%,3 - 3 - 0,50.00%,/decks/garchomp-a2-mienshao-a1?game=POCKET&format=standard&set=A2
884,Dusknoir Regirock,1,0.00%,2 - 2 - 0,50.00%,/decks/dusknoir-regirock-a2?game=POCKET&format=standard&set=A2
885,Rampardos Chatot,1,0.00%,3 - 3 - 0,50.00%,/decks/rampardos-chatot-a2?game=POCKET&format=standard&set=A2
886,Alakazam Weezing,1,0.00%,3 - 3 - 0,50.00%,/decks/alakazam-weezing-a1?game=POCKET&format=standard&set=A2
887,Florges Mew ex,1,0.00%,5 - 4 - 1,50.00%,/decks/florges-mew-ex-a1a?game=POCKET&format=standard&set=A2
888,Lapras ex Greninja,1,0.00%,1 - 1 - 0,50.00%,/decks/lapras-ex-p-a-greninja-a1?game=POCKET&format=standard&set=A2
889,Roserade Celebi ex,1,0.00%,3 - 3 - 0,50.00%,/decks/roserade-a2-celebi-ex-a1a?game=POCKET&format=standard&set=A2
890,Alakazam Azelf,1,0.00%,2 - 2 - 0,50.00%,/decks/alakazam-a1-azelf-a2?game=POCKET&format=standard&set=A2
891,Raichu Pikachu ex,1,0.00%,5 - 5 - 0,50.00%,/decks/raichu-pikachu-ex-a1?game=POCKET&format=standard&set=A2
892,Persian Rampardos,1,0.00%,1 - 1 - 0,50.00%,/decks/persian-a1-rampardos-a2?game=POCKET&format=standard&set=A2
893,Pidgeot ex Hitmonlee,1,0.00%,3 - 3 - 0,50.00%,/decks/pidgeot-ex-a1a-hitmonlee-a1?game=POCKET&format=standard&set=A2
894,Darkrai ex Gyarados ex,1,0.00%,4 - 4 - 0,50.00%,/decks/darkrai-ex-a2-gyarados-ex-a1a?game=POCKET&format=standard&set=A2
895,Beheeyem Mewtwo ex,1,0.00%,3 - 3 - 0,50.00%,/decks/beheeyem-a1a-mewtwo-ex-a1?game=POCKET&format=standard&set=A2
896,Greninja Galvantula,1,0.00%,4 - 4 - 0,50.00%,/decks/greninja-a1-galvantula-a1a?game=POCKET&format=standard&set=A2
897,Greninja Ninetales,1,0.00%,3 - 3 - 0,50.00%,/decks/greninja-ninetales-a1?game=POCKET&format=standard&set=A2
898,Magnezone Galvantula,1,0.00%,3 - 3 - 0,50.00%,/decks/magnezone-a2-galvantula-a1a?game=POCKET&format=standard&set=A2
899,Articuno ex Manaphy,1,0.00%,4 - 5 - 0,44.44%,/decks/articuno-ex-a1-manaphy-a2?game=POCKET&format=standard&set=A2
900,Exeggutor ex Shiinotic,1,0.00%,4 - 5 - 0,44.44%,/decks/exeggutor-ex-a1-shiinotic-a1a?game=POCKET&format=standard&set=A2
901,Dragonite Garchomp,1,0.00%,3 - 4 - 0,42.86%,/decks/dragonite-a1-garchomp-a2?game=POCKET&format=standard&set=A2
902,Bisharp Farfetch'd,1,0.00%,3 - 4 - 0,42.86%,/decks/bisharp-farfetchd-a1?game=POCKET&format=standard&set=A2
903,Poliwrath Greninja,1,0.00%,3 - 4 - 0,42.86%,/decks/poliwrath-greninja-a1?game=POCKET&format=standard&set=A2
904,Moltres ex Charizard,1,0.00%,3 - 4 - 0,42.86%,/decks/moltres-ex-charizard-a1?game=POCKET&format=standard&set=A2
905,Pachirisu ex Bibarel,1,0.00%,3 - 4 - 0,42.86%,/decks/pachirisu-ex-bibarel-a2?game=POCKET&format=standard&set=A2
906,Arcanine ex Ninetales,1,0.00%,3 - 4 - 0,42.86%,/decks/arcanine-ex-ninetales-a1?game=POCKET&format=standard&set=A2
907,Electrode Electivire,1,0.00%,3 - 4 - 0,42.86%,/decks/electrode-a1-electivire-a2?game=POCKET&format=standard&set=A2
908,Melmetal Bidoof,1,0.00%,3 - 4 - 0,42.86%,/decks/melmetal-a1-bidoof-a2?game=POCKET&format=standard&set=A2
909,Greninja Shaymin,1,0.00%,3 - 4 - 0,42.86%,/decks/greninja-a1-shaymin-a2?game=POCKET&format=standard&set=A2
910,Lapras ex Articuno ex,1,0.00%,3 - 4 - 0,42.86%,/decks/lapras-ex-p-a-articuno-ex-a1?game=POCKET&format=standard&set=A2
911,Exeggutor ex Flareon,1,0.00%,3 - 3 - 1,42.86%,/decks/exeggutor-ex-flareon-a1?game=POCKET&format=standard&set=A2
912,Pachirisu ex Chatot,1,0.00%,3 - 4 - 0,42.86%,/decks/pachirisu-ex-a2-chatot-a1a?game=POCKET&format=standard&set=A2
913,Melmetal Mawile,1,0.00%,3 - 4 - 0,42.86%,/decks/melmetal-mawile-a1?game=POCKET&format=standard&set=A2
914,Victreebel Exeggutor,1,0.00%,3 - 4 - 0,42.86%,/decks/victreebel-a1-exeggutor-a1a?game=POCKET&format=standard&set=A2
915,Eelektross Weezing,1,0.00%,3 - 4 - 0,42.86%,/decks/eelektross-weezing-a1?game=POCKET&format=standard&set=A2
916,Magmortar Hypno,1,0.00%,3 - 4 - 0,42.86%,/decks/magmortar-a2-hypno-a1?game=POCKET&format=standard&set=A2
917,Aerodactyl ex Arbok,1,0.00%,3 - 4 - 0,42.86%,/decks/aerodactyl-ex-a1a-arbok-a1?game=POCKET&format=standard&set=A2
918,Aerodactyl ex Persian,1,0.00%,3 - 4 - 0,42.86%,/decks/aerodactyl-ex-a1a-persian-a1?game=POCKET&format=standard&set=A2
919,Mewtwo ex Palkia ex,1,0.00%,2 - 3 - 0,40.00%,/decks/mewtwo-ex-a1-palkia-ex-a2?game=POCKET&format=standard&set=A2
920,Rampardos Darkrai ex,1,0.00%,2 - 3 - 0,40.00%,/decks/rampardos-darkrai-ex-a2?game=POCKET&format=standard&set=A2
921,Golem Wigglytuff ex,1,0.00%,2 - 3 - 0,40.00%,/decks/golem-a1a-wigglytuff-ex-a1?game=POCKET&format=standard&set=A2
922,Skuntank Dusknoir,1,0.00%,2 - 3 - 0,40.00%,/decks/skuntank-dusknoir-a2?game=POCKET&format=standard&set=A2
923,Yanmega ex Lopunny,1,0.00%,2 - 3 - 0,40.00%,/decks/yanmega-ex-lopunny-a2?game=POCKET&format=standard&set=A2
924,Ninetales Lopunny,1,0.00%,2 - 3 - 0,40.00%,/decks/ninetales-a1-lopunny-a2?game=POCKET&format=standard&set=A2
925,Purugly Mew ex,1,0.00%,2 - 2 - 1,40.00%,/decks/purugly-a2-mew-ex-a1a?game=POCKET&format=standard&set=A2
926,Yanmega ex Butterfree,1,0.00%,2 - 3 - 0,40.00%,/decks/yanmega-ex-a2-butterfree-a1?game=POCKET&format=standard&set=A2
927,Mismagius ex Spiritomb,1,0.00%,2 - 3 - 0,40.00%,/decks/mismagius-ex-spiritomb-a2?game=POCKET&format=standard&set=A2
928,Gallade ex Greninja,1,0.00%,2 - 3 - 0,40.00%,/decks/gallade-ex-a2-greninja-a1?game=POCKET&format=standard&set=A2
929,Butterfree Heatran,1,0.00%,2 - 3 - 0,40.00%,/decks/butterfree-a1-heatran-a2?game=POCKET&format=standard&set=A2
930,Charizard ex Moltres,1,0.00%,2 - 3 - 0,40.00%,/decks/charizard-ex-moltres-a1?game=POCKET&format=standard&set=A2
931,Kingler Seaking,1,0.00%,2 - 3 - 0,40.00%,/decks/kingler-seaking-a1?game=POCKET&format=standard&set=A2
932,Palkia ex Dusknoir,1,0.00%,2 - 3 - 0,40.00%,/decks/palkia-ex-dusknoir-a2?game=POCKET&format=standard&set=A2
933,Yanmega ex,1,0.00%,4 - 6 - 0,40.00%,/decks/yanmega-ex-a2?game=POCKET&format=standard&set=A2
934,Beedrill Vileplume,1,0.00%,2 - 3 - 0,40.00%,/decks/beedrill-vileplume-a1?game=POCKET&format=standard&set=A2
935,Dialga ex Victreebel,1,0.00%,2 - 3 - 0,40.00%,/decks/dialga-ex-a2-victreebel-a1?game=POCKET&format=standard&set=A2
936,Aerodactyl ex Lickilicky ex,1,0.00%,2 - 3 - 0,40.00%,/decks/aerodactyl-ex-a1a-lickilicky-ex-a2?game=POCKET&format=standard&set=A2
937,Lickilicky ex Melmetal,1,0.00%,2 - 3 - 0,40.00%,/decks/lickilicky-ex-a2-melmetal-a1?game=POCKET&format=standard&set=A2
938,Porygon-Z Palkia ex,1,0.00%,4 - 6 - 0,40.00%,/decks/porygon-z-palkia-ex-a2?game=POCKET&format=standard&set=A2
939,Exeggutor ex Starmie ex,1,0.00%,2 - 3 - 0,40.00%,/decks/exeggutor-ex-starmie-ex-a1?game=POCKET&format=standard&set=A2
940,Primeape Aerodactyl ex,1,0.00%,2 - 3 - 0,40.00%,/decks/primeape-a1-aerodactyl-ex-a1a?game=POCKET&format=standard&set=A2
